FIPS,Geographic Area Name,Gini Index
20055,"Finney County, Kansas",0.41
17003,"Alexander County, Illinois",0.44
13273,"Terrell County, Georgia",0.496
19111,"Lee County, Iowa",0.412
19169,"Story County, Iowa",0.453
26135,"Oscoda County, Michigan",0.417
17197,"Will County, Illinois",0.384
48139,"Ellis County, Texas",0.404
27079,"Le Sueur County, Minnesota",0.376
13021,"Bibb County, Georgia",0.495
29171,"Putnam County, Missouri",0.446
31103,"Keya Paha County, Nebraska",0.417
48279,"Lamb County, Texas",0.42
06069,"San Benito County, California",0.414
47085,"Humphreys County, Tennessee",0.401
72003,"Aguada Municipio, Puerto Rico",0.532
28121,"Rankin County, Mississippi",0.43
33011,"Hillsborough County, New Hampshire",0.412
13311,"White County, Georgia",0.462
02230,"Skagway Municipality, Alaska",0.368
20169,"Saline County, Kansas",0.422
16015,"Boise County, Idaho",0.403
05063,"Independence County, Arkansas",0.459
38033,"Golden Valley County, North Dakota",0.497
19179,"Wapello County, Iowa",0.444
20201,"Washington County, Kansas",0.388
21165,"Menifee County, Kentucky",0.433
48045,"Briscoe County, Texas",0.392
47145,"Roane County, Tennessee",0.44
21205,"Rowan County, Kentucky",0.489
29083,"Henry County, Missouri",0.442
51177,"Spotsylvania County, Virginia",0.378
02050,"Bethel Census Area, Alaska",0.446
17009,"Brown County, Illinois",0.469
12079,"Madison County, Florida",0.415
46019,"Butte County, South Dakota",0.4
51067,"Franklin County, Virginia",0.419
38103,"Wells County, North Dakota",0.436
19053,"Decatur County, Iowa",0.453
21155,"Marion County, Kentucky",0.442
21099,"Hart County, Kentucky",0.474
46037,"Day County, South Dakota",0.42
29089,"Howard County, Missouri",0.458
30101,"Toole County, Montana",0.434
13053,"Chattahoochee County, Georgia",0.37
37127,"Nash County, North Carolina",0.452
37141,"Pender County, North Carolina",0.431
46033,"Custer County, South Dakota",0.389
72085,"Las Piedras Municipio, Puerto Rico",0.502
26141,"Presque Isle County, Michigan",0.402
28027,"Coahoma County, Mississippi",0.548
13281,"Towns County, Georgia",0.405
37029,"Camden County, North Carolina",0.365
38037,"Grant County, North Dakota",0.477
29109,"Lawrence County, Missouri",0.421
37169,"Stokes County, North Carolina",0.4
04013,"Maricopa County, Arizona",0.452
20091,"Johnson County, Kansas",0.427
37019,"Brunswick County, North Carolina",0.438
39071,"Highland County, Ohio",0.409
06037,"Los Angeles County, California",0.489
31099,"Kearney County, Nebraska",0.403
48249,"Jim Wells County, Texas",0.452
46049,"Faulk County, South Dakota",0.479
36115,"Washington County, New York",0.391
54097,"Upshur County, West Virginia",0.447
47091,"Johnson County, Tennessee",0.431
36021,"Columbia County, New York",0.472
08051,"Gunnison County, Colorado",0.447
05035,"Crittenden County, Arkansas",0.466
51139,"Page County, Virginia",0.428
27149,"Stevens County, Minnesota",0.465
29099,"Jefferson County, Missouri",0.378
22025,"Catahoula Parish, Louisiana",0.454
27103,"Nicollet County, Minnesota",0.387
13127,"Glynn County, Georgia",0.472
47119,"Maury County, Tennessee",0.423
19101,"Jefferson County, Iowa",0.459
40053,"Grant County, Oklahoma",0.402
19029,"Cass County, Iowa",0.402
08099,"Prowers County, Colorado",0.448
24045,"Wicomico County, Maryland",0.437
21111,"Jefferson County, Kentucky",0.47
51115,"Mathews County, Virginia",0.43
06103,"Tehama County, California",0.453
08041,"El Paso County, Colorado",0.43
31121,"Merrick County, Nebraska",0.378
48159,"Franklin County, Texas",0.486
17151,"Pope County, Illinois",0.362
39129,"Pickaway County, Ohio",0.387
54105,"Wirt County, West Virginia",0.38
12091,"Okaloosa County, Florida",0.43
21151,"Madison County, Kentucky",0.443
01133,"Winston County, Alabama",0.452
37115,"Madison County, North Carolina",0.424
29187,"St. Francois County, Missouri",0.419
54047,"McDowell County, West Virginia",0.452
31085,"Hayes County, Nebraska",0.372
37107,"Lenoir County, North Carolina",0.458
31177,"Washington County, Nebraska",0.39
01077,"Lauderdale County, Alabama",0.461
55123,"Vernon County, Wisconsin",0.411
19087,"Henry County, Iowa",0.452
13159,"Jasper County, Georgia",0.451
40025,"Cimarron County, Oklahoma",0.394
50013,"Grand Isle County, Vermont",0.393
51131,"Northampton County, Virginia",0.506
47167,"Tipton County, Tennessee",0.415
26057,"Gratiot County, Michigan",0.419
28013,"Calhoun County, Mississippi",0.432
20167,"Russell County, Kansas",0.467
47073,"Hawkins County, Tennessee",0.441
48441,"Taylor County, Texas",0.449
19015,"Boone County, Iowa",0.407
20125,"Montgomery County, Kansas",0.42
01083,"Limestone County, Alabama",0.435
54075,"Pocahontas County, West Virginia",0.424
27073,"Lac qui Parle County, Minnesota",0.393
35027,"Lincoln County, New Mexico",0.419
49049,"Utah County, Utah",0.412
02275,"Wrangell City and Borough, Alaska",0.455
27101,"Murray County, Minnesota",0.402
01107,"Pickens County, Alabama",0.453
17165,"Saline County, Illinois",0.469
39121,"Noble County, Ohio",0.435
48117,"Deaf Smith County, Texas",0.39
38007,"Billings County, North Dakota",0.438
54063,"Monroe County, West Virginia",0.39
35047,"San Miguel County, New Mexico",0.473
22115,"Vernon Parish, Louisiana",0.404
26011,"Arenac County, Michigan",0.414
27139,"Scott County, Minnesota",0.371
18021,"Clay County, Indiana",0.367
31185,"York County, Nebraska",0.424
13139,"Hall County, Georgia",0.444
02100,"Haines Borough, Alaska",0.41
48437,"Swisher County, Texas",0.432
29031,"Cape Girardeau County, Missouri",0.429
05099,"Nevada County, Arkansas",0.461
54045,"Logan County, West Virginia",0.444
40149,"Washita County, Oklahoma",0.429
72039,"Ciales Municipio, Puerto Rico",0.497
53065,"Stevens County, Washington",0.422
21033,"Caldwell County, Kentucky",0.447
18011,"Boone County, Indiana",0.514
46045,"Edmunds County, South Dakota",0.436
49029,"Morgan County, Utah",0.341
16057,"Latah County, Idaho",0.452
31163,"Sherman County, Nebraska",0.407
48153,"Floyd County, Texas",0.417
16051,"Jefferson County, Idaho",0.367
37123,"Montgomery County, North Carolina",0.492
20067,"Grant County, Kansas",0.414
48099,"Coryell County, Texas",0.382
20021,"Cherokee County, Kansas",0.442
47061,"Grundy County, Tennessee",0.439
13075,"Cook County, Georgia",0.442
47079,"Henry County, Tennessee",0.439
30013,"Cascade County, Montana",0.427
53043,"Lincoln County, Washington",0.41
13051,"Chatham County, Georgia",0.476
41015,"Curry County, Oregon",0.447
34003,"Bergen County, New Jersey",0.468
21173,"Montgomery County, Kentucky",0.46
13309,"Wheeler County, Georgia",0.395
28091,"Marion County, Mississippi",0.491
51580,"Covington city, Virginia",0.441
18075,"Jay County, Indiana",0.379
51087,"Henrico County, Virginia",0.438
13029,"Bryan County, Georgia",0.422
51059,"Fairfax County, Virginia",0.414
48027,"Bell County, Texas",0.424
37145,"Person County, North Carolina",0.415
37099,"Jackson County, North Carolina",0.454
06045,"Mendocino County, California",0.444
28157,"Wilkinson County, Mississippi",0.493
53021,"Franklin County, Washington",0.429
29003,"Andrew County, Missouri",0.396
51720,"Norton city, Virginia",0.539
48179,"Gray County, Texas",0.469
48095,"Concho County, Texas",0.415
21071,"Floyd County, Kentucky",0.469
25011,"Franklin County, Massachusetts",0.411
13033,"Burke County, Georgia",0.451
01045,"Dale County, Alabama",0.424
06025,"Imperial County, California",0.469
06021,"Glenn County, California",0.436
22071,"Orleans Parish, Louisiana",0.541
30055,"McCone County, Montana",0.391
48037,"Bowie County, Texas",0.469
01061,"Geneva County, Alabama",0.456
01079,"Lawrence County, Alabama",0.399
21141,"Logan County, Kentucky",0.456
29189,"St. Louis County, Missouri",0.476
54013,"Calhoun County, West Virginia",0.481
22043,"Grant Parish, Louisiana",0.431
27017,"Carlton County, Minnesota",0.396
38081,"Sargent County, North Dakota",0.411
12105,"Polk County, Florida",0.432
05015,"Carroll County, Arkansas",0.448
41005,"Clackamas County, Oregon",0.44
22005,"Ascension Parish, Louisiana",0.409
16049,"Idaho County, Idaho",0.424
08003,"Alamosa County, Colorado",0.474
22069,"Natchitoches Parish, Louisiana",0.514
46085,"Lyman County, South Dakota",0.37
51550,"Chesapeake city, Virginia",0.393
27001,"Aitkin County, Minnesota",0.406
45017,"Calhoun County, South Carolina",0.437
51810,"Virginia Beach city, Virginia",0.4
53009,"Clallam County, Washington",0.416
55073,"Marathon County, Wisconsin",0.399
72035,"Cayey Municipio, Puerto Rico",0.482
21197,"Powell County, Kentucky",0.444
55065,"Lafayette County, Wisconsin",0.378
13237,"Putnam County, Georgia",0.51
20023,"Cheyenne County, Kansas",0.437
19195,"Worth County, Iowa",0.437
45027,"Clarendon County, South Carolina",0.438
51013,"Arlington County, Virginia",0.429
55127,"Walworth County, Wisconsin",0.431
18067,"Howard County, Indiana",0.423
72075,"Juana Díaz Municipio, Puerto Rico",0.508
22127,"Winn Parish, Louisiana",0.453
27013,"Blue Earth County, Minnesota",0.429
45029,"Colleton County, South Carolina",0.45
54019,"Fayette County, West Virginia",0.431
08015,"Chaffee County, Colorado",0.456
13201,"Miller County, Georgia",0.479
47053,"Gibson County, Tennessee",0.463
05059,"Hot Spring County, Arkansas",0.406
20177,"Shawnee County, Kansas",0.435
42111,"Somerset County, Pennsylvania",0.419
39099,"Mahoning County, Ohio",0.464
45041,"Florence County, South Carolina",0.465
16055,"Kootenai County, Idaho",0.431
01027,"Clay County, Alabama",0.421
17111,"McHenry County, Illinois",0.386
48405,"San Augustine County, Texas",0.503
05049,"Fulton County, Arkansas",0.421
19113,"Linn County, Iowa",0.423
36121,"Wyoming County, New York",0.387
05027,"Columbia County, Arkansas",0.483
30077,"Powell County, Montana",0.398
22101,"St. Mary Parish, Louisiana",0.437
48487,"Wilbarger County, Texas",0.454
37023,"Burke County, North Carolina",0.434
27135,"Roseau County, Minnesota",0.372
17119,"Madison County, Illinois",0.427
56019,"Johnson County, Wyoming",0.44
48169,"Garza County, Texas",0.477
53047,"Okanogan County, Washington",0.452
21209,"Scott County, Kentucky",0.416
27081,"Lincoln County, Minnesota",0.425
34019,"Hunterdon County, New Jersey",0.439
48453,"Travis County, Texas",0.487
20181,"Sherman County, Kansas",0.42
29009,"Barry County, Missouri",0.431
51183,"Sussex County, Virginia",0.408
72055,"Guánica Municipio, Puerto Rico",0.518
20015,"Butler County, Kansas",0.418
21113,"Jessamine County, Kentucky",0.469
42033,"Clearfield County, Pennsylvania",0.422
13269,"Taylor County, Georgia",0.519
01085,"Lowndes County, Alabama",0.506
19135,"Monroe County, Iowa",0.401
48235,"Irion County, Texas",0.489
31157,"Scotts Bluff County, Nebraska",0.426
51029,"Buckingham County, Virginia",0.418
48113,"Dallas County, Texas",0.492
20007,"Barber County, Kansas",0.424
17117,"Macoupin County, Illinois",0.401
35043,"Sandoval County, New Mexico",0.417
55017,"Chippewa County, Wisconsin",0.406
28113,"Pike County, Mississippi",0.506
47137,"Pickett County, Tennessee",0.497
49007,"Carbon County, Utah",0.425
49027,"Millard County, Utah",0.401
36123,"Yates County, New York",0.455
21043,"Carter County, Kentucky",0.472
28111,"Perry County, Mississippi",0.41
17007,"Boone County, Illinois",0.423
41053,"Polk County, Oregon",0.41
48241,"Jasper County, Texas",0.441
48389,"Reeves County, Texas",0.434
54005,"Boone County, West Virginia",0.44
26017,"Bay County, Michigan",0.42
26051,"Gladwin County, Michigan",0.431
37151,"Randolph County, North Carolina",0.447
39055,"Geauga County, Ohio",0.449
13267,"Tattnall County, Georgia",0.44
16011,"Bingham County, Idaho",0.429
55077,"Marquette County, Wisconsin",0.389
21067,"Fayette County, Kentucky",0.481
55039,"Fond du Lac County, Wisconsin",0.407
12023,"Columbia County, Florida",0.432
24035,"Queen Anne's County, Maryland",0.399
72011,"Añasco Municipio, Puerto Rico",0.484
40151,"Woods County, Oklahoma",0.447
25005,"Bristol County, Massachusetts",0.442
72101,"Morovis Municipio, Puerto Rico",0.522
34029,"Ocean County, New Jersey",0.426
26153,"Schoolcraft County, Michigan",0.44
36065,"Oneida County, New York",0.432
32005,"Douglas County, Nevada",0.465
18063,"Hendricks County, Indiana",0.37
27019,"Carver County, Minnesota",0.4
22119,"Webster Parish, Louisiana",0.451
39153,"Summit County, Ohio",0.456
39027,"Clinton County, Ohio",0.414
30065,"Musselshell County, Montana",0.432
37087,"Haywood County, North Carolina",0.438
38067,"Pembina County, North Dakota",0.425
49023,"Juab County, Utah",0.359
51197,"Wythe County, Virginia",0.431
08117,"Summit County, Colorado",0.394
45025,"Chesterfield County, South Carolina",0.447
29197,"Schuyler County, Missouri",0.407
17067,"Hancock County, Illinois",0.419
47069,"Hardeman County, Tennessee",0.455
31101,"Keith County, Nebraska",0.426
54093,"Tucker County, West Virginia",0.466
20013,"Brown County, Kansas",0.433
01055,"Etowah County, Alabama",0.453
24037,"St. Mary's County, Maryland",0.388
72021,"Bayamón Municipio, Puerto Rico",0.47
28045,"Hancock County, Mississippi",0.426
30071,"Phillips County, Montana",0.479
48423,"Smith County, Texas",0.479
51590,"Danville city, Virginia",0.469
17161,"Rock Island County, Illinois",0.441
48251,"Johnson County, Texas",0.405
51155,"Pulaski County, Virginia",0.403
72131,"San Sebastián Municipio, Puerto Rico",0.507
12009,"Brevard County, Florida",0.442
20121,"Miami County, Kansas",0.379
48379,"Rains County, Texas",0.399
51685,"Manassas Park city, Virginia",0.339
19025,"Calhoun County, Iowa",0.422
31009,"Blaine County, Nebraska",0.337
48261,"Kenedy County, Texas",0.417
19003,"Adams County, Iowa",0.458
26039,"Crawford County, Michigan",0.441
51595,"Emporia city, Virginia",0.491
55105,"Rock County, Wisconsin",0.404
48167,"Galveston County, Texas",0.449
48255,"Karnes County, Texas",0.441
08093,"Park County, Colorado",0.353
04011,"Greenlee County, Arizona",0.365
26137,"Otsego County, Michigan",0.419
29135,"Moniteau County, Missouri",0.388
26079,"Kalkaska County, Michigan",0.399
27067,"Kandiyohi County, Minnesota",0.441
20051,"Ellis County, Kansas",0.453
36001,"Albany County, New York",0.449
51175,"Southampton County, Virginia",0.412
39101,"Marion County, Ohio",0.42
13013,"Barrow County, Georgia",0.398
13239,"Quitman County, Georgia",0.394
31181,"Webster County, Nebraska",0.418
16083,"Twin Falls County, Idaho",0.398
29085,"Hickory County, Missouri",0.443
26035,"Clare County, Michigan",0.424
16073,"Owyhee County, Idaho",0.437
27083,"Lyon County, Minnesota",0.415
42059,"Greene County, Pennsylvania",0.429
16031,"Cassia County, Idaho",0.441
20097,"Kiowa County, Kansas",0.41
35055,"Taos County, New Mexico",0.465
47107,"McMinn County, Tennessee",0.434
29227,"Worth County, Missouri",0.362
56037,"Sweetwater County, Wyoming",0.379
39065,"Hardin County, Ohio",0.426
49001,"Beaver County, Utah",0.4
08065,"Lake County, Colorado",0.395
40013,"Bryan County, Oklahoma",0.437
29119,"McDonald County, Missouri",0.422
48295,"Lipscomb County, Texas",0.429
26159,"Van Buren County, Michigan",0.436
27087,"Mahnomen County, Minnesota",0.413
48047,"Brooks County, Texas",0.512
19055,"Delaware County, Iowa",0.388
17101,"Lawrence County, Illinois",0.436
47027,"Clay County, Tennessee",0.443
72009,"Aibonito Municipio, Puerto Rico",0.531
12109,"St. Johns County, Florida",0.482
21079,"Garrard County, Kentucky",0.438
48275,"Knox County, Texas",0.442
38099,"Walsh County, North Dakota",0.419
48131,"Duval County, Texas",0.467
13291,"Union County, Georgia",0.462
36043,"Herkimer County, New York",0.411
21061,"Edmonson County, Kentucky",0.445
21065,"Estill County, Kentucky",0.485
13275,"Thomas County, Georgia",0.518
28163,"Yazoo County, Mississippi",0.487
37057,"Davidson County, North Carolina",0.423
48001,"Anderson County, Texas",0.465
13207,"Monroe County, Georgia",0.438
24047,"Worcester County, Maryland",0.443
01097,"Mobile County, Alabama",0.473
40061,"Haskell County, Oklahoma",0.443
48305,"Lynn County, Texas",0.397
19175,"Union County, Iowa",0.41
26081,"Kent County, Michigan",0.441
18047,"Franklin County, Indiana",0.41
21035,"Calloway County, Kentucky",0.455
27015,"Brown County, Minnesota",0.406
37093,"Hoke County, North Carolina",0.411
17055,"Franklin County, Illinois",0.413
40079,"Le Flore County, Oklahoma",0.422
55035,"Eau Claire County, Wisconsin",0.449
21121,"Knox County, Kentucky",0.507
47089,"Jefferson County, Tennessee",0.44
26067,"Ionia County, Michigan",0.398
19099,"Jasper County, Iowa",0.395
41027,"Hood River County, Oregon",0.405
51041,"Chesterfield County, Virginia",0.387
01123,"Tallapoosa County, Alabama",0.497
55117,"Sheboygan County, Wisconsin",0.388
20165,"Rush County, Kansas",0.401
21097,"Harrison County, Kentucky",0.433
56035,"Sublette County, Wyoming",0.372
01005,"Barbour County, Alabama",0.464
02130,"Ketchikan Gateway Borough, Alaska",0.394
26127,"Oceana County, Michigan",0.39
40017,"Canadian County, Oklahoma",0.387
06105,"Trinity County, California",0.409
29201,"Scott County, Missouri",0.446
49019,"Grand County, Utah",0.373
45007,"Anderson County, South Carolina",0.449
53073,"Whatcom County, Washington",0.438
20171,"Scott County, Kansas",0.424
39001,"Adams County, Ohio",0.466
05095,"Monroe County, Arkansas",0.47
12007,"Bradford County, Florida",0.42
48457,"Tyler County, Texas",0.443
26083,"Keweenaw County, Michigan",0.407
46071,"Jackson County, South Dakota",0.421
38035,"Grand Forks County, North Dakota",0.461
51081,"Greensville County, Virginia",0.406
02016,"Aleutians West Census Area, Alaska",0.381
02068,"Denali Borough, Alaska",0.348
39087,"Lawrence County, Ohio",0.434
13197,"Marion County, Georgia",0.418
20047,"Edwards County, Kansas",0.426
49045,"Tooele County, Utah",0.345
32031,"Washoe County, Nevada",0.456
37085,"Harnett County, North Carolina",0.413
55045,"Green County, Wisconsin",0.408
04023,"Santa Cruz County, Arizona",0.474
42051,"Fayette County, Pennsylvania",0.434
39169,"Wayne County, Ohio",0.409
51710,"Norfolk city, Virginia",0.466
08039,"Elbert County, Colorado",0.374
13257,"Stephens County, Georgia",0.465
30025,"Fallon County, Montana",0.404
39167,"Washington County, Ohio",0.44
36105,"Sullivan County, New York",0.435
21239,"Woodford County, Kentucky",0.418
53011,"Clark County, Washington",0.416
21117,"Kenton County, Kentucky",0.433
28029,"Copiah County, Mississippi",0.459
01047,"Dallas County, Alabama",0.515
27147,"Steele County, Minnesota",0.389
17181,"Union County, Illinois",0.437
30063,"Missoula County, Montana",0.47
47161,"Stewart County, Tennessee",0.425
06091,"Sierra County, California",0.389
24510,"Baltimore city, Maryland",0.495
31051,"Dixon County, Nebraska",0.376
17015,"Carroll County, Illinois",0.434
36109,"Tompkins County, New York",0.468
41001,"Baker County, Oregon",0.45
48479,"Webb County, Texas",0.46
49055,"Wayne County, Utah",0.366
39151,"Stark County, Ohio",0.44
36059,"Nassau County, New York",0.448
53067,"Thurston County, Washington",0.407
02188,"Northwest Arctic Borough, Alaska",0.389
49009,"Daggett County, Utah",0.413
51079,"Greene County, Virginia",0.388
12073,"Leon County, Florida",0.488
46027,"Clay County, South Dakota",0.479
37079,"Greene County, North Carolina",0.399
72119,"Río Grande Municipio, Puerto Rico",0.467
21129,"Lee County, Kentucky",0.464
18045,"Fountain County, Indiana",0.389
45091,"York County, South Carolina",0.43
55109,"St. Croix County, Wisconsin",0.392
47163,"Sullivan County, Tennessee",0.465
20113,"McPherson County, Kansas",0.404
19189,"Winnebago County, Iowa",0.405
51065,"Fluvanna County, Virginia",0.393
72015,"Arroyo Municipio, Puerto Rico",0.526
02195,"Petersburg Census Area, Alaska",0.36
72045,"Comerío Municipio, Puerto Rico",0.538
20005,"Atchison County, Kansas",0.434
17121,"Marion County, Illinois",0.428
48015,"Austin County, Texas",0.452
48017,"Bailey County, Texas",0.427
02261,"Valdez-Cordova Census Area, Alaska",0.38
32011,"Eureka County, Nevada",0.412
26105,"Mason County, Michigan",0.428
27143,"Sibley County, Minnesota",0.383
18169,"Wabash County, Indiana",0.386
23007,"Franklin County, Maine",0.41
29041,"Chariton County, Missouri",0.393
39037,"Darke County, Ohio",0.397
51103,"Lancaster County, Virginia",0.439
48353,"Nolan County, Texas",0.446
13105,"Elbert County, Georgia",0.442
